,a,a,a,a30,a,a,a,a,a,a,a,a,a,a,a,a
ltlw,,ltw,ltw,ltw,ltw,ltw,ltw,doortl,doortr,ltw,ltw,ltw,ltw,ltw,ltrw,
llw,a,wf169,fcands,f1drainwf,fcands,fcflio3,fcflio3,f,f,fcSlio0,f,fdrain,fcflio3,f,a,
llw,a,f,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f,lrw,
llw,a,fcslio0,f2,f,fcoldP1,f,fcofdb1,fcands,fcofdb1,f,fcoldP1,f,f2,fcolio0,lrw,
doorul,a,f,f2,f,dftl,dfu,dfu,dfu,dfu,dfu,dftr,f,f2,f,doorur,f
doorll,a,fenemy5,f2,fvdm,dfl,f,f,f,f,f,dfr,fcflio1,fcofdb1,f,doorlr,f
llw,a,f,f2,f,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,f,f2,f,lrw,
llw,a,fcslio0,f2,f,fcovib1,fcand,fcofdb1,f,fcofdb1,fcand,fcovib1,fvasebl,f2,fcSlio0,lrw,
llw,a,f,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f,lrw,
llw,a,f,fped1fire,f,f,fcslio0,f,f,fcSlio0,f,fped1fire,fcfldo0,fcfltu0,fvaseblomega,lrw,
,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
lblw,,lbw,lbw,lbw,lbw,lbw,doorbl,doorbr,lbw,lbw,lbw,lbw,lbw,lbw,lbrw,
