fcsftp1,doorftl,doorftr,tlft,bf,bf,bf,bf,bf,bf,bf,trft,iwu,iwu,fcsftp1
lf,dfl,fcands,rf,tlfr21,tf,tf,tf,tf,tf,trf,lf,fcands,dfr,rf
lf,dfl,f,rf,lf,f3,f4,f3,f4,f3,rf,lf,fenemy,dfr,rf
lf,dfl,f,rf,lf,fcoltS0,f2,f2cands,f2,fcoltS0,rf,lf,f,dfr,rf
lf,dfl,f,blft,brft,f2,f2,f2,f2,f2,blft,brft,f,dfr,rf
lf,dfl,f,fpot2,f2,f2,f2,f2enemy,f2,f2,f2,fpot2,f,dfr,rf
lf,dfl,f,tlft,trft,f2,f2,f2enemy,f2,f2,tlft,trft,f,dfr,rf
lf,dfl,f,rf,lf,fcoltS0,f2,f2cands,f2,fcoltS0,rf,lf,f,dfr,rf
lf,dfl,fenemy,rf,lf,f3,f4,f3,f4,f3,rf,lf,f,dfr,doorfur
lf,dfl,fcands,rf,blf,bf,bf,bf,bf,bf,brf,lf,fcands,dfr,doorflr
fcsftp1,iwd,iwd,blft,tf,tf,tf,tf,tf,tf,tf,brft,f,dfr,fcsftp1
,,,,,,,,,,,lfue,doorfbl,doorfbr,
