ltlw,a,ltwtr,ltw,ltw,dtl,doortl,doortr,dtr,ltw,ltw,ltwtr,ltrw
llwtr,a,fped4fire,f,f,f,f,f,f,f,f,fped4fire,lrwtr
llw,a,f,stlt,stu,stu,stu,stu,stu,stu,strt,f,lrw
llw,a,f,stl,wf166,fenemy,f,f,fenemy,f,str,f,lrw
llw,a,f,stl,f,fcsftP0,f,f,fcSftP0,f,str,f,lrw
llw,a,f,stl,f,f,f,f,f,f,str,f,lrw
dlu,a,f,stl,f,fenemy,f,f,fenemy,f,str,f,dru
doorul,a,f,stl,f,fcsftP0,f,f,fcSftP0,f,str,f,doorur
doorll,a,f,stl,fskull,f,f,f,f,fskull,str,f,doorlr
dll,a,f,stdl,std,std,std,std,std,std,stdr,f,drl
llwtr,a,fped4fire,f,f,f,f,f,f,f,f,fped4fire,lrwtr
,a,a,a,a,a,f,f,a,a,a,a,a
lblw,,lbwtr,lbw,lbw,dbl,doorbl,doorbr,dbr,lbw,lbw,lbwtr,lbrw
