ltlw,,ltw,ltw,ltw,ltw,dtl,doortl,doortr,dtr,ltw,ltw,ltw,ltrw
llw,,rafpot,f,f,f,f,f,f,f,f,f,rafpot,lrw
llw,a,f,fcfftp0,stu,stu,stu,stu,stu,stu,stu,fcfftp0,f,lrw
dlu,a,f,stl,Wf10711,f3,f3,f3,f3,f3,f3,str,f,dru
doorul,a,f,stl,f21,f3,f3,fcoin,f3,f3,f3,str,f,doorur
doorll,a,f,stl,f3,fenemy,f3,f3,f3,fenemy,f3,str,f,doorlr
dll,a,f,stl,f3,f3,f3,f3,f3,f,f3,str,f,drl
torl,a,f,stl,f3,fcottp1,f3,f3,f3,fcottp1,f3,str,f,torr
llw,a,f,stl,f3,fenemy,f3,fped1fireb,f,fenemy,f3,str,f,lrw
llw,a,f,stl,f3,f3,f3,f3,f3,f3,f3,str,f,lrw
llw,a,f,stl,f3,f3,f3,f3,f3,f3,f3,str,f,lrw
llw,a,f,stl,f3,fcottp1,f3,f3,f3,fcottp1,f3,str,f,lrw
llw,a,f,stl,f3,f3,f3,f3,f3,f3,f3,str,f,lrw
llw,a,f,stl,f3,f3,f3,f3,f3,f3,f3,str,f,lrw
llw,a,f,fcfftp0,std,std,std,std,std,std,std,fcfftp0,f,lrw
llw,a,rafpot,f,f,f,f,f,f,f,f,f,rafpot,lrw
,a,a,a,a,a,f,f,a,a,a,a,a,a
lblw,,lbw,lbw,lbw,dbl,doorbl,doorbr,dbr,lbw,lbw,lbw,lbw,lbrw
