ltlw,a,ltw,ltw,toru,dtl,doortl,doortr,dtr,toru,ltw,ltw,ltrw,a
llw,a,wf133,f,f,str,f,f,stl,wf133,fenemy,f,lrw,
llw,a,f,fcsftP1,f,str,f,f,stl,f,fcsftP1,f,lrw,
torl,a,f,fenemy,f,str,f,f,stl,f,f,f,torr,
dlu,a,std,std,std,stdr,f,f,stdl,std,std,std,dru,
doorul,a,f,f,f,f,a,a,fcand,f,f,f,doorur,f
doorll,a,f,f,f,fcand,mostrid,a,f,f,f,f,doorlr,f
dll,a,stu,stu,stu,strt,f,f,stlt,stu,stu,stu,drl,
torl,a,wf133,f,f,str,f,f,stl,pu1,pu1,pu1,torr,
llw,a,f,fcsftP1,f,str,f,f,stl,pl,prub2,pr,lrw,
a,a,f,fenemy,f,str,f,f,stl,pdl,pd,pdr,lrw,
,a,a,a,a,a,f,f,a,a,a,a,lrw,
lblw,,lbw,lbw,tord,dbl,doorbl,doorbr,dbr,tord,lbw,lbw,lbrw,
