ltlw,a,dtl,doortl,doortr,dtr,toru,ltw,ltw,ltw,ltw,ltw,ltw,ltw,toru,ltw,ltw,ltw,ltw,ltrw,a
llw,a,fped1statue1,f,f10,fpot,f,fpot,f,f,fped1statue2,f,f10,fpot,f,fpot,f,f,fped1statue2,lrw,
llw,a,f,fcofio1,pu1,pu1,pu1,pu1,p,fcofio1,f,fcofio1,pu1,pu1,pu1,pu1,p,fcofio1,f,lrw,
llw,a,f,pu1,prub3r,fcolio0,fenemy,fcolio0,prub3r,pu1,fenemy3,pu1,pr,fcolio0,fenemy,fcolio0,pl,pu1,f,dru,
doorul,a,fcands,pl,prub3r,f,fcand2,f,prub3r,pr,raf,pl,pr,f,fcand2,f,pl,pr,fcands,doorur,
doorll,a,f,pl,prub3r,fcolio0,fenemy,fcolio0,prub3r,pr,fcands,pl,pr,fcolio0,fenemy,fcolio0,pl,pr,f,doorlr,
llw,a,f,pl,p,pu1,pu1,pu1,p,pr,fenemy3,pl,p,pu1,pu1,pu1,p,pr,f,drl,
llw,a,f,f,pd,pd,pd,pd,pd,f,f,f,pd,pd,pd,pd,pd,f,f,lrw,
llw,a,fped1statue1,fcofio1,fcand,fpot,f,fpot,fcand,fcofio1,fped1statue2,fcofio1,fcand,fpot,f,fpot,fcand,fcofio1,fped1statue2,lrw,
,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,
lblw,,lbw,lbw,lbw,lbw,lbwtr,lbw,dbl,doorbl,doorbr,dbr,lbw,lbw,lbwtr,lbw,lbw,lbw,lbw,lbrw,
