,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
ltlw,,ltw,ltw,ltw,doortl,doortr,ltw,ltw,ltwtr,ltw,ltw,ltw,ltw,ltw,ltw,ltw,ltrw,
llw,a,f,fcoltu1,f,f,f,fcsfib1,fenemy,f,fenemy,fcSfib1,f,f,f,fcoltu1,f,lrw,
llw,a,fpot,fcfltb0,f,fcoltb1,f,fcoltb0,fenemy,fcoltb1,f,fcoltb0,f,fcoltb1,f,fcfltb0,fpot,lrw,
dlu,a,fcoldb1,f,f,fcoltb0,f,f,f,fcoltb0,f,f,f,fcoltb0,f,f,fcoldb1,dru,
doorul,f,f,f,fob,f,iwtlt,iwd,iwd,iwd,iwd,iwd,iwtrt,f,fob,f,f,doorur,f
doorll,f,f,f,fob,fpot,iwblt,iwu,iwu,iwu,iwu,iwu,iwbrt,fpot,fob,f,f,doorlr,f
dll,a,fcoldb1,f,f,fcoltb1,f,f,f,fcfltb1,f,f,f,fcoltb1,f,f,fcoldb1,drl,
llw,a,fpot,fcoltb1,f,fcoltb0,f,fcsfib1,f,fcottb0,fenemy,fcSfib1,f,fcoltb0,f,fcoltb1,fpot,lrw,
llw,a,f,fcfltu0,f,f,f,fcoltb0,fenemy,f,fenemy,fcoltb0,f,f,f,fcfltu0,f,lrw,
,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
lblw,,lbw,lbw,lbw,doorbl,doorbr,lbw,lbw,lbw,lbw,lbw,lbw,lbw,lbw,lbw,lbw,lbrw,
