ltlw,a,ltw,ltw,ltwtr,dtl,doortl,doortr,ltw,ltwtr,ltw,ltw,ltrw,a
llw,a,f,fpot,f,f,f,f,f,f,fpot,f,lrw,
llw,a,fpot,pu1,pu1,pu1,pu1,pu1,pu1,pu1,pu1,fpot,lrw,
llw,a,f,pl,fped4fire,p,prub1r,prub1r,p,fped4fire,pr,f,lrw,
llw,a,f,pl,pu1,prub1r,fenemy2,fenemy6,prub1r,pu1,pr,f,lrw,
llw,a,f,pl,p,prub1r,mosgrif,a,prub1r,p,pr,f,lrw,
llw,a,f,pl,fped4fire,p,pu1,pu1,p,fped4fire,pr,f,lrw,
llw,a,f,pl,pu1,p,prub1r,prub1r,p,pu1,pr,f,dru,
doorul,a,f,f,f,f,f,f,f,f,f,f,doorur,f
doorll,a,f,f,f,f,f,f,f,f,f,f,doorlr,f
llw,a,f,pu1,pu1,pu1,pu1,pu1,pu1,pu1,pu1,f,drl,
llw,a,f,pl,fped4fire,p,prub1r,prub1r,p,fped4fire,pr,f,lrw,
llw,a,f,pl,pu1,prub1r,fenemy2,fenemy6,prub1r,pu1,pr,f,lrw,
llw,a,f,pl,p,prub1r,mosgrif,a,prub1r,p,pr,f,lrw,
llw,a,f,pl,fped4fire,p,pu1,pu1,p,fped4fire,pr,f,lrw,
llw,a,fpot,pl,pu1,p,prub1r,prub1r,p,pu1,pr,fpot,lrw,
llw,a,f,fpot,f,f,f,f,f,f,fpot,f,lrw,
,a,a,a,a,a,a,a,a,a,a,a,,
lblw,,lbw,lbw,lbwtr,dbl,doorbl,doorbr,lbw,lbwtr,lbw,lbw,lbrw,
