,,,tlw,tw,doortl,doortr,tw,trw,,
,,,lw,fcoltu0,f,f,fcoltu0,rw,,
,,,lw,fob1,fpot,fpot,fob1,rw,,
,,,lw,fped2,f,fenemy,fped2,rw,,
,,,lw,f3,f,f,f3,rw,,
,,,lw,fped2,fenemy,f,fped2,rw,,
,,,lw,fcob,f,f,fcob,rw,,
tlw,tw,tw,brt,f,f,f,f,blt,tw,trw
lw,f,f,fped2,fob2,fpot,fpot,fob3,fped2,f,rw
dlu,fcob,f,fob1,f,f,f,f,fob3,f,dru
doorul,f3,fenemy,fpot,f,fenemy4,f,f,fpot,fenemy,doorur
doorll,f2,f,fpot,f,fenemy4,f,f,fpot,f,doorlr
dll,fcob,f,fob2,f,f,f,f,fob3,f,drl
lw,f,f,fped2,fob1,fpot,fpot,fob2,fped2,f,rw
blw,bw,bw,trt,fped2,f,f,f,tlt,bw,brw
,,,lw,f,f,fcob,f,rw,,
,,,lw,f,fob1,f,f,rw,,
,,,lw,f,fenemy,f,f,rw,,
,,,lw,fenemy,f,fob3,f,rw,,
,,,lw,fpot,fcob,f,fpot,rw,,
,,,lw,f,f,f,fped2,rw,,
,,,blw,dbl,doorbl,doorbr,dbr,brw,,
