fcsftb1,tw,doorftl,doorftr,tf,tf,tf,tf,fcoltb0,tf,fcoftb2,tf,fcoltb0,tf,fcoltb1,tf,fcoltb0,tf,fcSftb1
lf,dftl,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dftr,rf
fcoltb0,dfl,fcands,f,f,f,f,f,f,fenemy,f,f,f,f,f,f,fcands,dfr,doorfur
lf,dfl,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,dfr,doorflr
fcoltb0,dfl,f,f,dftl,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dftr,f,f,dfr,rf
lf,dfl,f,f,dfl,tlft,bf,bf,trft,f2,tlft,bf,bf,trft,dfr,f,f,dfr,fcoltb1
fcoltb1,dfl,f,f,dfl,rf,tlf24,tf,brft,f2,blft,tf,trf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,lf,f2,f2,f2,f2,f2,rf,lf,dfr,f,f,dfr,fcoltb0
fcoltb0,dfl,f,f,dfl,rf,lf,f2,f2,f2,f2,f2,rf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,lf,fcoltb1,f2,f2cands,f2,fcoltb1,rf,lf,dfr,f,f,dfr,fcoltb0
fcoltb0,dfl,f,f,dfl,rf,lf,fpot2,f2,f2enemy4,f2,fpot2,rf,lf,dfr,f,f,dfr,rf
lf,dfl,fenemy,f,dfl,blft,brft,f2,f2,fpot2,f2,f2,blft,brft,dfr,f,f,dfr,fcoftb1
fcoftb1,dfl,f,f,dfl,tlft,trft,f2,f2,fpot2,f2,f2,tlft,trft,dfr,f,fenemy,dfr,rf
lf,dfl,f,f,dfl,rf,lf,fpot2,f2,f2enemy4,f2,fpot2,rf,lf,dfr,f,f,dfr,fcoltb0
fcoltb0,dfl,f,f,dfl,rf,lf,f2,f2,f2cands,f2,f2,rf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,lf,f2,f2,f2,f2,f2,rf,lf,dfr,f,f,dfr,fcoltb0
fcoltb0,dfl,f,f,dfl,rf,lf,fcoltb1,f2,f2,f2,fcoltb1,rf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,blf,bf,trft,f2,tlft,bf,brf,lf,dfr,f,f,dfr,fcoltb1
fcoltb0,dfl,f,f,dfl,blft,tf,tf,brft,f2,blft,tf,tf,brft,dfr,f,f,dfr,rf
lf,dfl,f,f,dfbl,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfbr,f,f,dfr,fcoltb0
doorful,dfl,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,dfr,rf
doorfll,dfl,fcands,f,f,f,f,f,f,fenemy,f,f,f,f,f,f,fcands,dfr,fcoltb0
lf,dfbl,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfbr,rf
fcsftb1,bf,fcoltb0,bf,fcoltb1,bf,fcoltb0,bf,fcoftb2,bf,fcoltb0,bf,bf,bf,bf,doorfbl,doorfbr,bf,fcSftb1
