,,,,tlw,dtl,doortl,doortr,tw,dtr,trw,,,,
,,,,lw,f12,f,f,f,f,rw,,,,
,,,,lw,f,f,f,f,f,rw,,,,
,,,,lw,f,fcoldo0,f,fcoldo0,f,rw,,,,
,,,,torloff,f,f,f,f,f,torroff,,,,
,,,,lw,f,f,f,f,f,rw,,,,
,,,,lw,f,f,f,f,f,rw,,,,
,,,,lw,fob,fcoldo0,f,fcoldo0,fob,rw,,,,
,,tlft,bf31,bf,bf,trft,fpot,tlft,bf,bf,bf,trft,,
,,rf,tlf,tf,tf,brft,f,blft,tf,tf,trf,lf,,
,,rf,lf,f,dftl,dfu,dfu,dfu,dftr,f,rf,lf,,
tlw,tw,rf,lf,f,dfl,f,fped1fire,f,dfr,f,rf,lf,tw,trw
dlu,dfu,rf,lf,fcoldo1,dfl,f,fenemy,f,dfr,fcoldo1,rf,lf,dfu,dru
doorul,f,blft,brft,fpot,dfl,f,fenemy4,f,dfr,fpot,blft,brft,f,doorur
doorll,f,tlft,trft,fpot,dfl,f,fenemy,f,dfr,fpot,tlft,trft,f,doorlr
dll,dfd,rf,lf,f,dfl,f,f,f,dfr,f,rf,lf,dfd,drl
blw,bw,rf,lf,f,dfl,f,fped1fire,,dfr,f,rf,lf,bw,brw
,,rf,lf,fcoldo1,dfbl,fcoldo1,dfd,fcoldo1,dfbr,fcoldo1,rf,lf,,
,,rf,blf,bf,bf,trft,fpot,tlft,bf,bf,brf,lf,,
,,blft,tf,tf,tf12,brft,f,blft,tf,tf,tf,brft,,
,,,,lw,fob,f,f,f,fob,rw,,,,
,,,,lw,f,fcoldo0,f,fcoldo0,f,rw,,,,
,,,,lw,f,f,f,f,f,rw,,,,
,,,,torloff,f,f,f,f,f,torroff,,,,
,,,,lw,f,f,f,f,f,rw,,,,
,,,,lw,f,fcoldo0,f,fcoldo0,f,rw,,,,
,,,,lw,f,f,f,f,f,rw,,,,
,,,,blw,dbl,dbl,doorbl,doorbr,dbr,brw,,,,
