tlw,tw,tw,toru,dtl,doortl,doortr,dtr,tw,toru,tw,tw,trw
lw,wf133,fenemy,f,str,f,f,f,stl,wf133,fenemy,f,rw
lw,f,fcsftb1,f,str,f,f,f,stl,f,fcsftb1,f,rw
torl,f,f,f,str,f,f,f,stl,f,f,f,torr
lw,std,std,std,stdr,f,f,f,stdl,std,std,std,dru
dlu,f,f,f,f,f,f,f,f,f,f,f,doorur
doorul,f,f,f,f,f,fped1fire,f,f,f,f,f,doorlr
doorll,f,f,f,f,f,f,f,f,f,f,f,drl
dll,stu,stu,stu,strt,f,f,f,stlt,stu,stu,stu,rw
torl,wf133,f,f,str,f,f,f,stl,wf133,f,f,torr
lw,f,fcsftb1,f,str,f,f,f,stl,f,fcsftb1,f,rw
lw,f,fenemy,f,str,f,f,f,stl,f,fenemy,f,rw
blw,bw,bw,tord,bw,dbl,doorbl,doorbr,dbr,tord,bw,bw,brw
