ltlw,a,ltw,toru,dtl,doortl,doortr,dtr,ltw,ltw,ltw,ltw,ltw,toru,ltw,ltrw
llw,,dftl,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dftr,lrw
torl,a,dfl,a,a,f,f,f,f,f,f,f,a,a,dfr,torr
llw,a,dfl,mosbull,a,f,f,f,f,f,f,f,mosbull,a,dfr,dru
llw,a,dfl,f,f,fskull,f,f,fcands,f,f,fskull,f,f,dfr,doorur
llw,a,dfl,f,f,f,fcands,f,fskull,f,fcands,f,f,f,dfr,doorlr
llw,a,dfl,f,f,f,f,f,f,f,f,f,f,f,dfr,drl
dlu,a,dfl,f,f,fcands,fskull,f,fboss1,f,fskull,fcands,f,f,dfr,lrw
doorul,a,dfl,f,f,f,f,f,f,f,f,f,f,f,dfr,lrw
doorll,a,dfl,f,f,f,fcands,f,fskull,f,fcands,f,f,f,dfr,lrw
dll,a,dfl,f,f,fskull,f,f,fcands,f,f,fskull,f,f,dfr,lrw
torl,a,dfl,a,a,f,f,f,f,f,f,f,a,a,dfr,lrw
dll,a,dfl,mosbull,a,f,f,f,f,f,f,f,mosbull,a,dfr,torr
,a,dfbl,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfbr,
,a,a,a,a,a,a,a,a,a,a,a,a,a,a,lrw
lblw,,lbw,tord,lbw,lbw,lbw,lbw,lbw,dbl,doorbl,doorbr,dbr,tord,lbw,lbrw
