,a,a,a,a30,a,a,a,a,a,a,a,a,a,a,a
ltlw,,ltw,ltw,ltw,ltw,ltw,ltw,doortl,doortr,ltw,ltw,ltw,ltw,ltw,ltrw
llw,a,fcands,f,f,f,fcands,fcslio0,f,f,fcSlio0,fcands,f,f,fcands,lrw
llw,a,f,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f,lrw
llw,a,fcslio0,f2cands,f,fcoldP1,f,fcoldb1,f,fcoldb1,f,fcoldP1,f,f2cands,fcSlio0,lrw
doorul,a,f,f2,f,dftl,dfu,dfu,dfu,dfu,dfu,dftr,f,f2,f,doorur
doorll,a,f,f2,fvdm,dfl,fcands,f,f,f,fcands,dfr,fvdm,f2,f,doorlr
llw,a,f,f2,f,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,f,f2,f,lrw
llw,a,fcslio0,f2cands,f,fcoldP1,f,fcoldb1,f,fcofdb1,f,fcoldP1,f,f2cands,fcSlio0,lrw
llw,a,f,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f2,f,lrw
llw,a,fcands,fped1fire,f,fcands,fcslio0,f,f,fcSlio0,fcands,f,f,f,fcands,lrw
,a,a,a,a,a,a,a,a,a,a,a,a,a,a,lrw
lblw,,lbw,lbw,lbw,lbw,lbw,doorbl,doorbr,lbw,lbw,lbw,lbw,lbw,lbw,lbrw
