tlw,twtr2,tw,tw,dtl,doortl,doortr,dtr,tw,tw,twtr2,trw
lwtr,fped1fireoff,f,f,fpot,f,f,fpot,f,f,fped1fireoff,rwtr
lw,f,fenemy,fcolio1,f,f,f,f,fcolio1,fenemy,f,rw
lw,f,f,tlt,bw,bw,bw,bw,trt,f,f,rw
dlu,fpot,f,rw,tlw,tw,tw,trw,lw,f,fpot,dru
doorul,f,f,rw,lw,tlt,trt,rw,lw,f,f,doorur
doorll,f,f,rw,lw,blt,brt,rw,lw,f,f,doorlr
dll,fpot,f,rw,blw,bw,bw,brw,lw,f,fpot,drl
lw,f,f,blt,tw,tw,tw,tw,brt,f,f,rw
lw,f,fenemy,f,f,f,f,f,f,fenemy,f,rw
lwtr,fped1fireoff,f,fcolio1,fpot,f,f,fpot,fcolio1,f,fped1fireoff,rwtr
blw,bwtr2,bw,bw,dbl,doorbl,doorbr,dbr,bw,bw,bwtr2,brw
