tlw,twtr,dtl,doortl,doortr,dtr,twtr,trw,,,,,,,,,
lwtr2,fped1fireoff,f,f,f,f,fped1fireoff,rwtr2,,,,,,,,,
lw,f,f,f,f,f,f,rw,,,,,,,,,
lw,f,f,tlt,trt,f,f,blt,toru,tw,twtr2,tw,trw,,,,
lw,f,f,rw,lw,f,f,f,f,f,f,f,rw,,,,
lw,f,f,rw,lw,f,f,f,f,f,f,f,rw,,,,
lw,f,f,blt,brt,f,f,tlt,bwtr,trt,fenemy3,f,rw,,,,
lw,f,f,fenemy4,f,f,f,rw,,lw,f,f,blt,tw,tw,tw,trw
lwtr2,fped1fireoff,f,f,f,f,fped1fireoff,rwtr2,,lw,f,f,f,fpot,f,f,rw
blw,bwtr,trt,f,tlt,bw,bwtr,brw,,lw,fpot,tlt,bw,trt,f,f,rw
tlw,tw,brt,fpot,blt,tw,tw,tw,tw,brt,f,blt,trw,lw,f,f,dru
dlu,dftl,dfu,dfu,dfu,dftr,f,f,f,f,fenemy3,f,rw,lw,dftl,dftr,doorur
doorul,dfl,f,f,f,dfr,f,f,f,f,fenemy,f,rw,lw,dfbl,dfbr,doorlr
doorll,dfl,f,f,f,dfr,tlt,bw,bw,trt,f,tlt,brw,lw,f,f,drl
dll,dfbl,dfd,dfd,dfd,dfbr,rw,tlw,twtr2,brt,fpot,blt,tw,brt,f,f,rw
blw,bw,trt,fpot,tlt,bw,brw,lw,f,fcob,f,f,fenemy,fpot,f,f,rw
tlw,tw,brt,f,blt,tw,tw,brt,f,f,f,tlt,bw,bw,bw,bw,brw
lw,dftl,dfu,dfu,dfu,dftr,f,fpot,f,f,f,rw,,,,,
lw,dfl,f,f,f,dfr,tlt,trt,f,fenemy2,f,rw,,,,,
lw,dfl,f,fcand,f,dfr,rw,lw,fcob,fcob,f,rw,,,,,
lw,dfl,f,f,f,dfr,rw,blw,tordoff,bwtr2,tordoff,brw,,,,,
lw,dfbl,dfd,dfd,dfd,dfbr,rw,,,,,,,,,,
blw,bw,dbl,doorbl,doorbr,dbr,brw,,,,,,,,,,
