,,,,,,,,tlw,dtl,doortl,doortr,tw,dtr,trw,,,,,,,,
,,,,,,,,lw,f12,f,f,f,f,rw,,,,,,,,
,,,,,,,,lw,f,f,f,f,f,rw,,,,,,,,
,,,,,,,,lw,f,fcoldo0,f,fcoldo0,f,rw,,,,,,,,
,,,,,,,,torloff,f,f,f,f,f,torroff,,,,,,,,
,,,,,,,,lw,f,f,f,f,f,rw,,,,,,,,
,,,,,,,,lw,f,f,f,f,f,rw,,,,,,,,
,,,,,,,,lw,fob,fcoldo0,f,fcoldo0,fob,rw,,,,,,,,
,,,,,,tlft,bf31,bf,bf,trft,fpot,tlft,bf,bf,bf,trft,,,,,,
,,,,,,rf,tlf,tf,tf,brft,f,blft,tf,tf,trf,lf,,,,,,
,,,,,,rf,lf,f,dftl,dfu,dfu,dfu,dftr,f,rf,lf,,,,,,
tlw,tw,tw,toruoff,tw,tw,rf,lf,f,dfl,f,fped1fire,f,dfr,f,rf,lf,tw,tw,toruoff,tw,tw,trw
dlu,dfu,dfu,dfu,dfu,dfu,rf,lf,fcoldo1,dfl,f,fenemy,f,dfr,fcoldo1,rf,lf,dfu,dfu,dfu,dfu,dfu,dru
doorul,f,f,f,f,f,blft,brft,fpot,dfl,f,fenemy4,f,dfr,fpot,blft,brft,f,f,f,f,f,doorur
doorll,f,f,f,f,f,tlft,trft,fpot,dfl,f,fenemy,f,dfr,fpot,tlft,trft,f,f,f,f,f,doorlr
dll,dfd,dfd,dfd,dfd,dfd,rf,lf,f,dfl,f,f,f,dfr,f,rf,lf,dfd,dfd,dfd,dfd,dfd,drl
blw,bw,bw,tordoff,bw,bw,rf,lf,f,dfl,f,fped1fire,,dfr,f,rf,lf,bw,bw,tordoff,bw,bw,brw
,,,,,,rf,lf,fcoldo1,dfbl,fcoldo1,dfd,fcoldo1,dfbr,fcoldo1,rf,lf,,,,,,
,,,,,,rf,blf,bf,bf,trft,fpot,tlft,bf,bf,brf,lf,,,,,,
,,,,,,blft,tf,tf,tf12,brft,f,blft,tf,tf,tf,brft,,,,,,
,,,,,,,,lw,fob,f,f,f,fob,rw,,,,,,,,
,,,,,,,,lw,f,fcoldo0,f,fcoldo0,f,rw,,,,,,,,
,,,,,,,,lw,f,f,f,f,f,rw,,,,,,,,
,,,,,,,,torloff,f,f,f,f,f,torroff,,,,,,,,
,,,,,,,,lw,f,f,f,f,f,rw,,,,,,,,
,,,,,,,,lw,f,fcoldo0,f,fcoldo0,f,rw,,,,,,,,
,,,,,,,,lw,f,f,f,f,f,rw,,,,,,,,
,,,,,,,,blw,dbl,dbl,doorbl,doorbr,dbr,brw,,,,,,,,
