tlw,tw,toru,dtl,doortl,doortr,dtr,toru,tw,tw,tw,tw,toru,tw,trw
lw,dftl,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dftr,rw
torl,dfl,f,f,f,f,f,f,f,f,f,f,f,dfr,torr
lw,dfl,f,fskull,f,f,f,f,f,f,f,fskull,f,dfr,dru
lw,dfl,f,f,f,f,f,fcands,f,f,f,f,f,dfr,doorur
lw,dfl,f,f,f,fcands,f,fskull,f,fcands,f,f,f,dfr,doorlr
lw,dfl,f,f,f,f,f,f,f,f,f,f,f,dfr,drl
torl,dfl,f,f,fcands,fskull,f,fboss1,f,fskull,fcands,f,f,dfr,torr
dlu,dfl,f,f,f,f,f,f,f,f,f,f,f,dfr,rw
doorul,dfl,f,f,f,fcands,f,fskull,f,fcands,f,f,f,dfr,rw
doorll,dfl,f,f,f,f,f,fcands,f,f,f,f,f,dfr,rw
dll,dfl,f,fskull,f,f,f,f,f,f,f,fskull,f,dfr,rw
torl,dfl,f,f,f,f,f,f,f,f,f,f,f,dfr,torr
lw,dfbl,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfbr,rw
blw,bw,tord,bw,bw,bw,bw,tord,dbl,doorbl,doorbr,dbr,tord,bw,brw
