tlw,dtl,doortl,doortr,dtr,twtr2,tw,tw,twtr,tw,tw,toruoff,tw,tw,tw,tw,trw
lw,fcand,f,f,fpot,fenemy3,f,f,fpot,f,fenemy3,f,fpot,f,f,fcand,rw
lw,f,fped1statue1,fpot,pu1,pu1,pu1,pu1,pu1,pu1,pu1,pu1,pu1,fpot,fped1statue2,f,rw
lw,f,f,fcofio1,p,prub2,p,prub3r,prub3r,prub3r,p,prub2,p,fcofio1,f,f,dru
doorul,f,f,pl,p,p,pr,f,f,f,pl,p,p,pr,f,f,doorur
doorll,f,f,pl,p,fped1fireoff,pr,fenemy,fped2heal,fenemy,pl,fped1fireoff,p,pr,f,f,doorlr
lw,f,f,pl,p,prub2,p,prub3r,prub3r,prub3r,p,prub2,p,pr,f,f,drl
lw,f,f,f,pd,pd,pd,pd,pd,pd,pd,pd,pd,f,f,f,rw
lw,f,fped1statue1,fcofio1,f,f,fenemy3,f,f,f,fenemy3,f,f,fcofio1,fped1statue2,f,rw
lw,fcand,f,f,fpot,f,f,f,fpot,f,f,f,fpot,f,f,fcand,rw
blw,bw,bw,bw,bw,tordoff,bw,bw,bwtr,bw,bw,bwtr2,dbl,doorbl,doorbr,dbr,brw
