tlw,tw,tw,tw,tw,toru,dtl,doortl,doortr,dtr,toru,tw,tw,tw,trw
lw,fpot,f,f,f,f,f,f,f,f,f,f,f,fpot,rw
lw,f,fcsftb0,f,f,f,f,f,f,f,f,f,fcSftb0,f,rw
lw,f,f,stlt,stu,stu,stu,stu,stu,stu,stu,strt,f,f,rw
torl,f,f,stl,wf179,f,f,f,f,f,f,str,fcolts0,f,rw
dlu,f,f,stl,f21,f,f,fcoin,f,f,f,str,f,f,rw
doorul,f,f,stl,f,fenemy,f,f,f,fenemy,f,str,fcoltS0,f,rw
doorll,f,f,stl,f,fcottb0,f,fcoltb0,f,fcottb0,f,str,f,f,torr
dll,f,f,stl,f,f,f,f,f,f,f,str,f,f,dru
torl,f,f,stl,f,f,f,fcfftb0,f,f,fcoltp0,str,fcoltp0,fcoltP0,doorur
lw,f,f,stl,f,fenemy,f,f,f,fenemy,f,str,f,f,doorlr
lw,f,f,stl,f,fcottb0,f,fcoltb0,f,fcottb0,f,str,f,f,drl
lw,f,f,stl,f,f,f,f,f,f,f,str,f,f,torr
lw,f,f,stdl,std,std,std,std,std,std,std,stdr,f,f,rw
lw,f,fcsftb0,f,f,f,f,f,f,f,f,f,fcSftb0,f,rw
lw,fpot,f,f,f,f,f,f,f,f,f,f,f,fpot,rw
blw,bw,bw,bw,tord,dbl,doorbl,doorbr,dbr,tord,bw,bw,bw,bw,brw
