tlw,tw,tw,tw,toru,dtl,doortl,doortr,dtr,toru,trw
torl,fped2,f,f,f,f,f,f,f,fped2,rw
dlu,f,stlt,stu,stu,stu,stu,stu,strt,f,rw
doorul,f,stl,wf157,f,f,f,f,str,f,rw
doorll,f,stl,f,fcsltb0,f,fcSltb0,f,str,f,rw
dll,fcob,stl,f,fenemy,f,fenemy,f,str,fcob,rw
torl,f,stl,f,f,fped1fire,f,f,str,f,torr
lw,f,stl,f,fenemy,f,fenemy,f,str,f,dru
lw,f,stl,f,fcsltb0,f,fcSltb0,f,str,f,doorur
lw,f,stl,fskull,f,f,f,fskull,str,f,doorlr
lw,f,stdl,std,std,std,std,std,stdr,f,drl
lw,fped2,f,f,f,f,f,f,f,fped2,torr
blw,tord,dbl,doorbl,doorbr,dbr,tord,bw,bw,bw,brw
