ltlw,,dtl,doortl,doortr,dtr,torub,ltw,ltw,ltw,ltw,ltw,ltw,ltw,torub,ltw,ltw,ltw,ltw,ltrw
llw,a,f,f,f10,fpot,f,fpot,f,f,f,f,f10,fpot,f,fpot,f,f,f,lrw
llw,a,fped1statue1,f,pu1,pu1,pu1,pu1,pu1,f,fped1statue2,f,pu1,pu1,pu1,pu1,pu1,f,fped1statue2,lrw
llw,a,f,fcofio1,p,prub3r,prub3r,prub3r,p,fcofio1,f,fcofio1,p,prub3r,prub3r,prub3r,p,fcofio1,f,lrw
llw,a,f,pu1,prub3r,fcolio1,fenemy,fcolio1,prub3r,pu1,fenemy3,pu1,pr,fcolio1,fenemy,fcolio1,pl,pu1,f,dru
doorul,a,fcands,pl,prub3r,f,fcand2,f,prub3r,pr,raf,pl,pr,f,fcand2,f,pl,pr,fcands,doorur
doorll,a,f,pl,prub3r,fcolio1,fenemy,fcolio1,prub3r,pr,fcands,pl,pr,fcolio1,fenemy,fcolio1,pl,pr,f,doorlr
llw,a,f,pl,p,pu1,pu1,pu1,p,pr,fenemy3,pl,p,pu1,pu1,pu1,p,pr,f,drl
llw,a,f,f,pd,pd,pd,pd,pd,f,f,f,pd,pd,pd,pd,pd,f,f,lrw
,a,fped1statue1,fcofio1,fcand,fpot,f,fpot,fcand,fcofio1,fped1statue2,fcofio1,fcand,fpot,f,fpot,fcand,fcofio1,fped1statue2,lrw
lblw,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
,,lbw,lbw,lbw,lbw,lbwtr,lbw,dbl,doorbl,doorbr,dbr,lbw,lbw,lbwtr,lbw,lbw,lbw,lbw,lbrw
