tlw,tw,tw,tw,tw,tw,tw,trw,,,,doortl,doortr,,,,tlw,tw,tw,tw,tw,tw,tw,trw
lw,fcflio1,f,f,f,f,fcflio1,rw,,,,,,,,,lw,fcflio1,f,f,f,f,fcflio1,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,fcflio1,f,f,f,f,fcflio1,rw,,,,,,,,,lw,fcflio1,f,f,f,f,fcflio1,rw
blw,bw,bw,f,f,bw,bw,brw,,,,,,,,,blw,bw,bw,f,f,bw,bw,brw
,,,f,f,,,,,,,,,,,,,,,f,f,,,
,,,f,f,,,,tlw,tw,tw,tw,tw,tw,tw,trw,,,,f,f,,,
,,,f,f,,,,lw,fcflio1,f,f,f,f,fcflio1,rw,,,,f,f,,,
,,,f,f,,,,lw,f,f,f,f,f,f,rw,,,,f,f,,,
doorul,,,f,f,,,,lw,f,f,f,f,f,f,rw,,,,f,f,,,doorur
doorll,,,f,f,,,,lw,f,f,f,f,f,f,rw,,,,f,f,,,doorlr
,,,f,f,,,,lw,f,f,f,f,f,f,rw,,,,f,f,,,
,,,f,f,,,,lw,fcflio1,f,f,f,f,fcflio1,rw,,,,f,f,,,
,,,f,f,,,,blw,bw,bw,bw,bw,bw,bw,brw,,,,f,f,,,
,,,f,f,,,,,,,,,,,,,,,f,f,,,
tlw,tw,tw,f,f,tw,tw,trw,,,,,,,,,tlw,tw,tw,f,f,tw,tw,trw
lw,fcflio1,f,f,f,f,fcflio1,rw,,,,,,,,,lw,fcflio1,f,f,f,f,fcflio1,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,rw,,,,,,,,,lw,f,f,f,f,f,f,rw
lw,fcflio1,f,f,f,f,fcflio1,rw,,,,,,,,,lw,fcflio1,f,f,f,f,fcflio1,rw
blw,bw,bw,bw,bw,bw,bw,brw,,,,doorbl,doorbr,,,,blw,bw,bw,bw,bw,bw,bw,brw
