,,,,,,,,,,,,,,,,,tlw,tw,dtl,doortl,doortr,dtr,tw,trw
,,,,,,,,,,,,,,,,,lw,f14,fcolio,f,f,fcolio,f,rw
,,,,,,,,,,,,,,,tlw,tw,brt,f,f,f,f,f,f,rw
,,,,,,,,,,,,,,,lw,f,f,f,f,f,f,f,f,dru
,,,,,,,,,,,,,,,lw,f,f,f,fcoltu1,f,fcoltu1,f,f,doorur
,,,,,,,,,,,,,,,lw,f,f,f,dftl,dfu,dftr,f,f,doorlr
,,,,,,,,,,,,,,,lwtr2,f,f,f,dfl,fped1fireoff,dfr,f,f,drl
,,,,,,,,,,,,,,,lw,f,f,f,dfbl,dfd,dfbr,f,f,rw
,,,,,,,,,,,,,,tlw,brt,fenemy,f,f,f,f,f,f,f,rw
,,,,,,,,,,,,,tlw,brt,fob2,f,fob3,f,f,f,f,tlt,bw,brw
,,,,,,,,,tlw,tw14,tw,twtr2,brt,f,fpot,fenemy4,f,fenemy,fcoltu1,f,fcoltu1,rw,,
,,,,,,,,tlw,brt,f,f,f,f,f,fob1,fpot,fob1,tlt,bw,bwtr2,bw,brw,,
,,,,,,,,lw,f,f,fcolio0,f,fcolio0,f,f,f,tlt,brw,,,,,,
,,,,,,,,lw,f,f,f,fenemy3,f,f,f,tlt,brw,,,,,,,
,,,,,,,,lw,f,f,dftl,dfu,dftr,f,f,rw,,,,,,,,
,,,,,,,,lw,f,f,dfl,fped1fireoff,dfr,f,f,rwtr2,,,,,,,,
,,,,,,,tlw,brt,f,f,dfbl,dfd,dfbr,f,f,rw,,,,,,,,
,,,,,,tlw,brt,fob2,fpot,fob1,f,fenemy3,f,f,f,rw,,,,,,,,
,,tlw,tw,tw,twtr2,brt,f,f,f,fpot,fcolio0,f,fcolio0,f,tlt,brw,,,,,,,,
,,lw,f,fob1,f,f,f,fob,f,fob1,tlt,bwtr2,bw,bw,brw,,,,,,,,,
tlw,tw,brt,f,f,f,fenemy,fped2,f,f,tlt,brw,,,,,,,,,,,,,
lw,f,f,fcoltu1,f,f,fob,fenemy,f,tlt,brw,,,,,,,,,,,,,,
dlu,f,f,f,f,fped1fireoff,f,f,f,rwtr2,,,,,,,,,,,,,,,
doorul,f,f,f,fob,f,f,f,fob1,rw,,,,,,,,,,,,,,,
doorll,f,f,fped2,f,f,f,f,f,rw,,,,,,,,,,,,,,,
dll,f,fob,f,f,f,f,f,f,rw,,,,,,,,,,,,,,,
lw,f,f,f,f,f,f,fcoltu1,f,rw,,,,,,,,,,,,,,,
blw,bw,bw,dbl,doorbl,doorbr,dbr,bw,bw,brw,,,,,,,,,,,,,,,
