fcsftp1,tw,doorftl,doorftr,tf,tf,tf,tf,fcoltp0,tf,fcoftp2,tf,fcoltp0,tf,fcoltp1,tf,fcoltp0,tf,fcSftp1
lf,dftl,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dftr,rf
fcoltp0,dfl,fcands,f,f,f,f,f,f,fcands,f,f,f,f,f,f,fcands,dfr,doorfur
lf,dfl,f,f,f,f,f,f,f,fenemy,f,f,f,f,f,f,f,dfr,doorflr
fcoltp0,dfl,f,f,dftl,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dfu,dftr,f,f,dfr,rf
lf,dfl,f,f,dfl,tlft,bf,bf,trft,f3,tlft,bf,bf,trft,dfr,f,f,dfr,fcoltp1
fcoltp1,dfl,f,f,dfl,rf,tlf24,tf,brft,f3,blft,tf,trf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,lf,f2,f2,f2,f2,f2,rf,lf,dfr,f,f,dfr,fcoltp0
fcoltp0,dfl,f,f,dfl,rf,lf,f2,f2,f2,f2,f2,rf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,lf,fcoltS1,f2,f2cands,f2,fcoltS1,rf,lf,dfr,f,f,dfr,fcoltp0
fcoltp0,dfl,f,f,dfl,rf,lf,fpot2,f2,f2enemy4,f2,fpot2,rf,lf,dfr,f,f,dfr,rf
lf,dfl,fenemy,f,dfl,blft,brft,f2,f2,fpot2,f2,f2,blft,brft,dfr,f,f,dfr,fcoftp1
fcoftp1,dfl,f,f,dfl,tlft,trft,f2,f2,fpot2,f2,f2,tlft,trft,dfr,f,fenemy,dfr,rf
lf,dfl,f,f,dfl,rf,lf,fpot2,f2,f2enemy4,f2,fpot2,rf,lf,dfr,f,f,dfr,fcoltp0
fcoltp0,dfl,f,f,dfl,rf,lf,f2,f2,f2cands,f2,f2,rf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,lf,f2,f2,f2,f2,f2,rf,lf,dfr,f,f,dfr,fcoltp0
fcoltp0,dfl,f,f,dfl,rf,lf,fcoltS1,f2,f2,f2,fcoltS1,rf,lf,dfr,f,f,dfr,rf
lf,dfl,f,f,dfl,rf,blf,bf,trft,f3,tlft,bf,brf,lf,dfr,f,f,dfr,fcoltp1
fcoltp0,dfl,f,f,dfl,blft,tf,tf,brft,f3,blft,tf,tf,brft,dfr,f,f,dfr,rf
lf,dfl,f,f,dfbl,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfbr,f,f,dfr,fcoltp0
doorful,dfl,f,f,f,f,f,f,f,fenemy,f,f,f,f,f,f,f,dfr,rf
doorfll,dfl,fcands,f,f,f,f,f,f,fcands,f,f,f,f,f,f,fcands,dfr,fcoltp0
lf,dfbl,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfd,dfbr,rf
fcsftp1,bf,fcoltp0,bf,fcoltp1,bf,fcoltp0,bf,fcoftp2,bf,fcoltp0,bf,bf,bf,bf,doorfbl,doorfbr,bf,fcSftp1
