tlw,tw,tw,tw,tw,dtl,doortl,doortr,dtr,tw,tw,tw,tw,trw
lw,f,fped1fire,f,f,f,f,f,f,f,f,fped1fire,f,rw
torl,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,fcolio2,f,f,fcolio2,f,f,f,f,fcolio2,f,f,fcolio2,rw
dlu,f,f,f,f,dftl,dfu,dfu,dftr,f,f,f,f,dru
doorul,f,f,f,f,dfl,fenemy2,f,dfr,f,f,f,f,doorur
doorll,f,f,f,f,dfl,fenemy4,fenemy,dfr,f,f,f,f,doorlr
dll,f,f,f,f,dfbl,dfd,dfd,dfbr,f,f,f,f,drl
lw,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,f,f,f,f,f,f,f,f,f,f,f,f,rw
lw,fcolio2,fped1fire,f,fcolio2,fped1,f,f,fped1,fcolio2,f,fped1fire,fcolio2,rw
blw,bw,bw,bw,bw,dbl,doorbl,doorbr,dbr,bw,bw,bw,bw,brw
