tlw,tw,tw,tw,tw,tw,tw,tw,tw,tw,tw,tw,dtl,doortl,doortr,dtr,tw,tw,tw,tw,toru,tw,tw,tw,tw,trw,
lw,f2,f30,pu1,pu1,pu1,pu1,pu1,pu1,pu1,f2,f,iwl,f,f,iwr,f2,pu1,pu1,pu1,pu1,pu1,pu1,pu1,f2,rw,
lw,pu1,pr,dftl,dfu,dfu,dfu,dfu,dfu,dftr,pl,pu1,iwl,fpot,f,iwr,f30,pd,pd,pd,pd,pd,pd,pd,f,rw,
lw,pl,pr,dfl,fpot,f,f,f,fpot,dfr,pl,pr,iwl,f,fob,iwr,pl,dftl,dfu,dfu,dfu,dfu,dfu,dftr,pr,rw,
lw,pl,pr,dfl,f,f,f,f,f,dfr,pl,pr,iwl,f,f,iwrtr,pl,dfl,fpot,f,f,f,fpot,dfr,pr,rw,
torl,pl,pr,dfl,f,f,fped1fire,f,f,dfr,pl,pr,iwl,fcolio0,f,iwr,f,dfl,f,f,f,f,f,dfr,pr,rw,
lw,pl,pr,dfl,f,f,f,f,f,dfr,pl,pr,iwltr,fenemy,f,raf,f,dfl,f,f,fped1fire,f,f,dfr,pr,rw,
lw,pl,pr,dfl,fpot,f,f,f,fpot,dfr,pl,pr,iwl,f,fob,iwr,f,dfl,f,f,f,f,f,dfr,pr,rw,
lw,pl,pr,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,pl,pr,iwl,fpot,f,iwrtr,pl,dfl,fpot,f,f,f,fpot,dfr,pr,rw,
lw,pl,pr,fcolio1,pd,f,f,f,pd,fcolio1,pl,pr,iwl,f,f,iwr,pl,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,pr,rw,
dlu,iwu,iwu,iwu,iwutr,iwu,raf,iwu,iwutr,iwu,iwu,iwu,iwbrt,f,fenemy,iwr,pl,fcolio1,pu1,pu1,pu1,pu1,pu1,fcolio1,pr,rw,
doorul,f,f,fob,f,f,f,fob,f,f,fenemy3,stlt,stu,stu,strt,iwr,f2,pd,pd,pd,pd,pd,pd,pd,f2,rw,
doorll,f2,fpot,f,f,fcolio0,fenemy,f,fpot,f,f2,stl,wf122,f,str,iwblt,iwu,iwu,iwu,iwutr,iwu,iwu,iwu,iwu,iwu,dru,
dll,iwd,iwd,iwd,iwd,iwd,iwdtr,iwd,iwd,iwd,iwtrt,stl,f,f,str,f,f,fpot,f,fenemy,fcolio0,f,f,fpot,f,doorur,
lw,2f30,pu1,pu1,pu1,pu1,pu1,pu1,pu1,f2,iwl,stdl,std,std,stdr,f,f,f,fob,f,f,f,fob,f,f,doorlr,
lw,pl,dftl,dfu,dfu,dfu,dfu,dfu,dftr,pr,iwl,f,fenemy3,iwtlt,iwd,iwd,iwd,iwdtr,iwd,raf,iwd,iwdtr,iwd,iwd,iwd,drl,
lw,pl,dfl,fpot,f,f,f,fpot,dfr,pr,iwl,f,f,iwr,f2,f30,pu1,pu1,f,f,f,pu1,pu1,pu1,f2,rw,
lw,pl,dfl,f,f,f,f,f,dfr,pr,lwtr,f,fpot,iwr,pl,pr,dftl,dfu,dfu,dfu,dfu,dfu,dftr,pl,pr,rw,
lw,pl,dfl,f,f,fped1fire,f,f,dfr,f,iwl,fob,f,iwr,pl,pr,dfl,fpot,f,f,f,fpot,dfr,pl,pr,rw,
lw,pl,dfl,f,f,f,f,f,dfr,f,raf,f,fenemy,iwrtr,pl,pr,dfl,f,f,f,f,f,dfr,pl,pr,rw,
lw,pl,dfl,fpot,f,f,f,fpot,dfr,f,iwl,f,fcolio0,iwr,pl,pr,dfl,f,f,fped1fire,f,f,dfr,pl,pr,torr,
lw,pl,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,pr,lwtr,f,f,iwr,pl,pr,dfl,f,f,f,f,f,dfr,pl,pr,rw,
lw,pl,fcolio1,pu1,pu1,pu1,pu1,pu1,fcolio1,pr,iwl,fob,f,iwr,pl,pr,dfl,fpot,f,f,f,fpot,dfr,pl,pr,rw,
lw,pl,p,p,p,p,p,p,p,p,iwl,f,fpot,iwr,pl,pr,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,pl,pr,rw,
lw,f2,pd,pd,pd,pd,pd,pd,pd,f2,iwl,f,f,iwr,f2,pr,fcolio1,pd,pd,pd,pd,pd,fcolio1,pl,f2,rw,
blw,bw,bw,bw,bw,tord,bw,bw,bw,bw,dbl,doorbl,doorbr,dbr,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,brw,
